title,status,latitude,longitude,geometry,kind,date,capacity,emissions,age,owner,fuel,maps,retirement
Wolfsburg North,Retiring,52.4317,10.787,Point,plant,15/1/2020,140 MW,0.8,20,Volkswagen AG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.4317000,10.7870000&zoom=16&basemap=satellite",2022
Wolfsburg West,Retiring,52.4295,10.7683,Point,plant,15/1/2020,306 MW,1.7,35,Volkswagen AG,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=52.4295000,10.7683000&zoom=16&basemap=satellite",2022
Wuppertal-Elberfeld,Retired,51.2482,7.1201,Point,plant,15/1/2020,0 MW,0.2,Retired at the age of 29,WSW Wuppertaler Stadtwerke GmbH,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=51.2482000,7.1201000&zoom=16&basemap=satellite",2018
Zolling-Leininger,Open,48.4552,11.7995,Point,plant,15/1/2020,474 MW,1.2,34,Riverstone,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.4552000,11.7995000&zoom=16&basemap=satellite",0
Hamburg-Moorburg,Open,53.4897,9.9482,Point,plant,15/1/2020,1640 MW,6.2,5,Vattenfall,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.4897000,9.9482000&zoom=16&basemap=satellite",0
Wilhelmshaven Engie,Open,53.5788,8.1327,Point,plant,15/1/2020,795 MW,1.9,5,Riverstone,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.5788000,8.1327000&zoom=16&basemap=satellite",0
Frankfurt/Oder,Retiring,52.3182,14.5315,Point,plant,15/1/2020,49 MW,0.2,23,City of Frankfurt (Oder),Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=52.3182000,14.5315000&zoom=16&basemap=satellite",2022
Stuttgart-Gaisburg,Retired,48.7827,9.2312,Point,plant,15/1/2020,0 MW,0.1,Retired at the age of 9,EnBW,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=48.7827000,9.2312000&zoom=16&basemap=satellite",2018
Fortuna Nord,Open,50.9869,6.6581,Point,plant,15/1/2020,16 MW,0.4,36,RWE,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.9869000,6.6581000&zoom=16&basemap=satellite",0
Huerth Ville/Berrenrath,Open,50.8671,6.8361,Point,plant,15/1/2020,57 MW,1,29,RWE,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.8671000,6.8361000&zoom=16&basemap=satellite",0
Stade Dow Chemical,Planned,53.6368,9.5072,Point,plant,15/1/2020,0 MW,0,[Planned],Dow Chemical Co.,Hard coal,"https://www.google.com/maps/@?api=1&map_action=map&center=53.6367980,9.5071760&zoom=16&basemap=satellite",0
Huerth Goldenberg,Open,50.861,6.8434,Point,plant,15/1/2020,76 MW,0.8,28,RWE,Lignite,"https://www.google.com/maps/@?api=1&map_action=map&center=50.8610000,6.8434000&zoom=16&basemap=satellite",0
